Filename,Preamble Snippet
"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT.txt","FRANCHISE AGREEMENT   HOMEWOOD SUITES BY HILTON STRATFORD   (Stratford, Connecticut)









  TABLE OF CONTENTS   1.0 DEFINITIONS 1       2.0 GRANT OF LICENSE 6           2.1 Non-Exclusive License 6   2.2 Reserved Rights 7         3.0 TERM 7       4.0 OUR RESPONSIBILITIES 7           4.1 Training 7   4.2 Reservation Service 7   4.3 Consultation 7   4.4 Marketing 7   4.5 Inspections/Compliance Assistance 8   4.6 Manual 8   4.7 Equipment and Supplies 9         5.0 YOUR RESPONSIBILITIES 9        "
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.txt,"CONTENT DISTRIBUTION AND LICENSE AGREEMENT   Deal Terms   Licensed Program/ Film or Video Inevitable ""Licensed Rights"" to ConvergTV and ConvergTV Channels and/or Distribution Outlets x All, including but not limited to: xSimultaneous Internet Streaming x OTT Television x Internet Protocol Television x Radio, short wave, microwave, fiber optic x Alternative, secondary and specialty distribution x Stored as VOD, Content Distribution Networks/Company Servers x Full Television Broadcast Rights: x Fr"
"ONEMAINHOLDINGS,INC_02_20_2020-EX-99.D-JOINT FILING AGREEMENT.txt","Exhibit D

JOINT FILING AGREEMENT OneMain Holdings, Inc.

In accordance with Rule 13d-1(k) under the Securities Exchange Act of 1934, as amended, the undersigned hereby confirm the agreement by and among them to the joint filing on behalf of them of the Statement on Schedule 13D and any and all further amendments thereto, with respect to the securities of the above referenced issuer, and that this Agreement be included as an Exhibit to such filing. This Agreement may be executed in any number of"
MPLXLP_06_17_2015-EX-10.1-TRANSPORTATION SERVICES AGREEMENT.txt,"Exhibit 10.1

TRANSPORTATION SERVICES AGREEMENT

THIS TRANSPORTATION SERVICES AGREEMENT (this ""Agreement"") is dated as of June 11, 2015, by and between Marathon Petroleum Company LP (""Shipper"") and Marathon Pipe Line LLC, a Delaware limited liability company (""MPL""), both referred to jointly as the ""Parties"" and each individually as a ""Party"".

WITNESSETH

WHEREAS, MPL owns and operates a common carrier pipeline system originating in Ohio, as further depicted on Exhibit A, that will provide both"
LOGANSROADHOUSEINC_03_27_1998-EX-10.17-SPONSORSHIP AGREEMENT.txt,"1                                                                    Exhibit 10.17

                           SPONSORSHIP AGREEMENT

      THIS SPONSORSHIP AGREEMENT (the ""Agreement"") is made and entered into this the 24th day of February, 1998, by and between Southern Racing Promotions, Inc., (""SRP"") a Tennessee corporation, and Logan's Roadhouse, Inc., a Tennessee corporation (""Logan's""), with its principal place of business in Nashville, Tennessee.

      WHEREAS, SRP is engaged in the busin"
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.txt,"EXHIBIT 10.1

JOINT DEVELOPMENT AGREEMENT

between

FUELCELL ENERGY, INC.

and

EXXONMOBIL RESEARCH AND ENGINEERING COMPANY

Source: FUELCELL ENERGY INC, 8-K, 11/6/2019





TABLE OF CONTENTS ARTICLE 1 - DEFINITIONS 1 ARTICLE 2 - PROGRAM 1 ARTICLE 3 - PROGRAM GOVERNANCE 2 ARTICLE 4 - DISCLOSURE, CONFIDENTIALITY AND RESTRICTED USE 3 ARTICLE 5 - PUBLICITY AND PUBLICATIONS 5 ARTICLE 6 - OWNERSHIP / PROCUREMENT OF PROGRAM RESULTS 6 ARTICLE 7 -LICENSE TO PROGRAM RESULTS 7 ARTICLE 8 - LICENSE TO BACKG"
"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT.txt","Exhibit 10.2

STRICTLY PRIVATE AND CONFIDENTIAL

1 April, 2020

THERAVANCE BIOPHARMA UK LIMITED and BRETT HAUMANN

SERVICE AGREEMENT





THIS AGREEMENT is entered into between the parties on 1 April, 2020.

PARTIES (1) Theravance Biopharma UK Limited is a company registered in the United Kingdom and whose registered office is at 12 New Fetter Lane, London, United Kingdom, EC4A 1JP (the ""Employer""); and (2) Brett Haumann of [address removed] (the ""Executive"").

AGREED TERMS 1. Definitions 1.1 Th"
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.txt,"Exhibit 10.16   ENDORSEMENT AGREEMENT     THIS ENDORSEMENT AGREEMENT (""Agreement"") by and between GENO AURIEMMA (""Auriemma"") and BERKSHIRE BANK, a  Massachusetts savings bank with its principal place of business at 24 North Street, Pittsfield, MA 01210 (""Berkshire"")(Each or both of which shall  hereinafter be referred to as the ""PARTY"" or ""PARTIES,"" respectively).     RECITALS:     Berkshire desires to obtain the right to use the name, likeness, and endorsement services of Auriemma in connection"
DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT.txt,"1                                                                     EXHIBIT 10.4

             MARKETING AND TRANSPORTATION SERVICES AGREEMENT

  THIS AGREEMENT made in duplicate this 20 day of November, 1995.

B E T W E E N:

                         PUROLATOR COURIER LTD.                                 (""Purolator"")                                                                           - and -                                                            PARCELWAY COURIER SYSTEMS CANADA LTD"
VALENCETECHNOLOGYINC_02_14_2003-EX-10-JOINT VENTURE CONTRACT.txt,"EXHIBIT 10.3

                             JOINT VENTURE CONTRACT

                          CHAPTER 1 GENERAL PROVISIONS

        In accordance with the Law of the People's Republic of China on Joint Ventures Using Chinese and Foreign Investment (the ""Joint Venture Law"") and other relevant Chinese laws and regulations, Fengfan Group Limited Liability Company and Valence Technology Inc., in accordance with the principle of equality and mutual benefit and through friendly consultations, agree to "
ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT.txt,"Exhibit 10.9

SUPPLY AGREEMENT

between

CREMER OLEO GmbH & Co KG, Glockengiesserwall 3, 20095 Hamburg,

Germany

— hereinafter referred to as Cremer —

and

Ultragenyx Pharmaceutical Inc, 60 Leveroni Court, Suite 200, Novato, California 94949, United States of America

— hereinafter referred to as Ultragenyx —

­ each party also referred to as a ""Party"" and jointly as the ""Parties"" -

Preamble

Whereas, Cremer is a producer of oleo chemical products;

Whereas, Ultragenyx is a biotechnology comp"
"NETGEAR,INC_04_21_2003-EX-10.16- AMENDMENT #2 TO THE DISTRIBUTION AGREEMENT.txt","This Amendment is entered into effective October 1,1996 (""Amendment Date"") by and between NETGEAR, Inc. (""NETGEAR""), a wholly owned subsidiary of Bay Networks, Inc., and Ingram Micro (""Distributor"") acting on behalf of itself and its affiliates.

NETGEAR and Distributor having previously entered into a Distributor Agreement (""Agreement"") with an Effective Date of March 1,1996, now mutually agree to amend that Agreement as follows:

1.       Subject to the terms of this Amendment, the Territory l"
SFGFINANCIALCORP_05_12_2009-EX-10.1-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.txt,"SOFTWARE LICENSE AND MAINTENANCE AGREEMENT     THIS SOFTWARE LICENSE AND MAINTENANCE AGREEMENT (""Agreement"") is made and entered into as of this 27th day of April  2009 by and between SFG Financial Corp, a/k/a E-Path FX, a Delaware Corporation whose principal address is 575 Madison Avenue, 8th Floor, New  York, NY 10022 (""Licensor""), and 551 FX IB Associates, LLC a Delaware Limited Liability Company, whose principal address is located at 575 Madison Avenue, 8th Floor, New York, NY 10022 (""Licens"
"VAXCYTE,INC_05_22_2020-EX-10.19-SUPPLY AGREEMENT.txt","Exhibit 10.19

CERTAIN CONFIDENTIAL INFORMATION CONTAINED IN THIS DOCUMENT, MARKED BY [***], HAS BEEN OMITTED BECAUSE IT IS BOTH (I) NOT MATERIAL AND (II) WOULD LIKELY CAUSE COMPETITIVE HARM IF PUBLICLY DISCLOSED.

SUPPLY AGREEMENT

This SUPPLY AGREEMENT (""Supply Agreement"") is made as of May 29, 2018 (the ""Effective Date"") by and between SutroVax, Inc., a Delaware corporation having principal offices at 353 Hatch Dr., Foster City, CA 94404 (""SutroVax"") and Sutro Biopharma, Inc., a Delaware corp"
"OTISWORLDWIDECORP_04_03_2020-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT by and among UNITED TECHNOLOGIES CORPORATION, OTIS WORLDWIDE CORPORATION and CARRIER ~1.txt","Exhibit 10.4

EXECUTION VERSION

INTELLECTUAL PROPERTY AGREEMENT

by and among

UNITED TECHNOLOGIES CORPORATION,

OTIS WORLDWIDE CORPORATION

and

CARRIER GLOBAL CORPORATION

Dated as of April 2, 2020





TABLE OF CONTENTS ARTICLE I DEFINITIONS 2 1.1 Defined Terms 2 ARTICLE II ASSIGNMENT OF SOLELY OWNED INTELLECTUAL PROPERTY RIGHTS 7 2.1 Assigned Intellectual Property Rights 7 ARTICLE III LICENSING OF INTELLECTUAL PROPERTY RIGHTS 8 3.1 Licensed Intellectual Property Rights 8 3.2 Reserved Intell"
"GIGGLESN_HUGS,INC_06_23_2016-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt","STRATEGIC ALLIANCE AGREEMENT This Strategic Alliance Agreement (this ""Agreement"") is made and entered into as of May 17, 2016, (the ""Effective Date"") by and between Giggles N' Hugs, Inc., a Nevada corporation (the ""Company""), and Kiddo, Inc., a Florida corporation, Inc., (""Consultant""). WHEREAS, Consultant is retained by the Company as an Independent Contractor to introduce investors, celebrity spokespersons, press and media relationships, raise public awareness of the company and its public sec"
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.txt,"Exhibit 10.1 COLOGUARD® PROMOTION AGREEMENT BY AND BETWEEN EXACT SCIENCES CORPORATION AND PFIZER INC. August 21, 2018

Source: EXACT SCIENCES CORP, 8-K, 8/22/2018





TABLE OF CONTENTS Page 1. DEFINITIONS 1 2. GOVERNANCE 10 2.1 Joint Steering Committee 10 2.2 Joint Operations Committee 13 2.3 Joint Review Committee 14 2.4 Finance Representative 15 2.5 Alliance Managers 15 2.6 Compliance Managers 16 3. APPOINTMENT; PRODUCT OWNERSHIP; MARKETING AND SALES 17 3.1 Appointment 17 3.2 Responsibility f"
Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT.txt,"EXHIBIT 10.2 EXECUTION VERSION NON-COMPETITION AND NON-SOLICITATION AGREEMENT THIS NON-COMPETITION AND NON-SOLICITATION AGREEMENT (this ""Agreement""), dated as of August 1, 2019 (the ""Effective Date""), is entered into by Quaker Chemical Corporation (""Buyer""), a Pennsylvania corporation, Gulf Houghton Lubricants Ltd., a company incorporated in the Cayman Islands (""Gulf Houghton""), Gulf Oil International Limited, a company incorporated in the Cayman Islands (""Gulf International""), and GOCL Corporat"
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.txt,"EXHIBIT 10.9     GLOBAL MUSIC INTERNATIONAL, INC. DBA IMNTV CONTENT LICENSE AGREEMENT

This Content License Agreement (""Agreement"") is between Global Music International, Inc. d/b/a Independent Music Network (IMNTV), located at 20 Old Stagecoach Road, Redding, Connecticut, 06896 (""IMNTV""), and Distributor, as set forth below, and describes the terms and conditions under which Distributor will distribute Programming provided by IMNTV as described herein. Distributor's distribution of the Programm"
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.8_11951679_EX-10.8_Service Agreement.txt,"Exhibit 10.8 EXECUTION COPY CERTAIN INFORMATION HAS BEEN EXCLUDED FROM THIS EXHIBIT BECAUSE IT IS NOT MATERIAL AND WOULD LIKELY CAUSE COMPETITIVE HARM TO THE REGISTRANT IF PUBLICLY DISCLOSED. [***] OR [REDACTED] INDICATES THAT INFORMATION HAS BEEN REDACTED. SPONSORSHIP AND SERVICES AGREEMENT This SPONSORSHIP AND SERVICES AGREEMENT (the ""Agreement"") is made and entered into as of the 19t h day of December, 2018, by and among HOF Village, LLC, a Delaware limited liability company (""HOFV""), Nationa"
HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement.txt,"Exhibit 10.8 FORM OF TRADEMARK LICENSE AGREEMENT This TRADEMARK LICENSE AGREEMENT ( ""Agreement""), is entered into as of September ___, 2019 (""Effective Date""), by and between HERTZ INVESTMENT GROUP, LLC, a Delaware limited liability company, having a principal place of business at 21860 Burbank Blvd., Suite 300 South, Woodland Hills, CA 91367 (""Licensor""), and HERTZ GROUP REALTY TRUST, INC., a Maryland corporation, having a principal place of business at 21860 Burbank Blvd., Suite 300 South, Woo"
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.txt,"EXHIBIT 99.2

e-business Hosting Agreement 1.0 Introduction This e-business Hosting Agreement (""Agreement"") between International Business Machines Corporation (""IBM"") and  The Quantum Group Inc., (""Customer""), sets forth the terms and conditions under which IBM will provide hosting and related services (""Services"") to Customer. The Agreement includes the terms and conditions and the documents referenced herein (""Base Terms"") and the following Attachments: Attachment A - Services; Attachment B -"
"SUCAMPOPHARMACEUTICALS,INC_11_04_2015-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt","Exhibit 10.2 STRATEGIC ALLIANCE AGREEMENT dated as of August 26, 2015 among Sucampo Pharmaceuticals, Inc., Sucampo Pharma, LLC. and R-Tech Ueno, Ltd.





TABLE OF CONTENTS

ARTICLE I DEFINITIONS AND INTERPRETATION

Section 1.01 Definitions 2 Section 1.02 Interpretation 8

ARTICLE II TRANSACTION

Section 2.01 Strategic Alliance 8 Section 2.02 Obligations of Acquiror 9 Section 2.03 Obligations of the Company 11

ARTICLE III REPRESENTATIONS AND WARRANTIES

Section 3.01 Representations and Warranti"
KENTUCKYUTILITIESCO_03_25_2003-EX-10.65-TRANSPORTATION AGREEMENT.txt,"EXHIBIT 10.65   EXHIBIT II   NOVEMBER 1, 2002, RATE FT-A AGREEMENT   BETWEEN LG&E AND TENNESSEE GAS PIPELINE COMPANY





  Service Package No: 40715 Amendment No:   GAS TRANSPORTATION AGREEMENT (For Use under FT-A Rate Schedule)   THIS AGREEMENT is made and entered into as of the 1st day of November, 2002, by and between TENNESSEE GAS PIPELINE COMPANY, a Delaware Corporation, hereinafter referred to as ""Transporter"" and LOUISVILLE GAS AND ELECTRIC COMPANY, a Kentucky Corporation, hereinafter re"
"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT.txt","Exhibit 10.18

CERTAIN CONFIDENTIAL INFORMATION CONTAINED IN THIS DOCUMENT, MARKED BY [***], HAS BEEN OMITTED BECAUSE IT IS NOT MATERIAL AND WOULD LIKELY CAUSE COMPETITIVE HARM TO THE COMPANY IF PUBLICLY DISCLOSED.

STRATEGIC ALLIANCE AGREEMENT

This Strategic Alliance Agreement (this ""Agreement""), effective as of December 10, 2015 (the ""Effective Date""), is by and between Allscripts Healthcare, LLC, a North Carolina limited liability company (""Allscripts"") on behalf of itself and its Affiliates"
"Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT.txt","[ * ] = Certain confidential information contained in this document, marked by brackets, has been omitted and filed separately with the Securities and Exchange Commission pursuant to Rule 24b-2 of the Securities Exchange Act of 1934, as amended.

CONFIDENTIAL

EXECUTION VERSION

LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT

THIS LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT (this ""Agreement"") dated as of May 31, 2017 (the ""Effective Date""), is made and entered into by and between "
MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP AGREEMENT.txt,"EXHIBIT 10.21                              SPONSORSHIP AGREEMENT

     THIS AGREEMENT, dated for reference purposes as of July 12, 1999 (the ""Agreement""), is by and between FOOTBALL NORTHWEST LLC, a Washington limited liability company (""FNW"") and MERCATA, Inc., a Delaware corporation (""Sponsor"").

                                R E C I T A L S                                 ---------------

     A.  Pursuant to that certain Consent to Assignment and Amendment of Use Agreement dated January 7,"
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT.txt","Exhibit 10.1 CONSULTING AGREEMENT This CONSULTING AGREEMENT (""Agreement"") effective as of this 1st day of March 2020 is hereby entered into between Gunston Consulting, LLC (""CONSULTANT""), a Virginia limited liability company, and Medalist Diversified REIT, Inc. (""REIT"" or the ""Company""), a Maryland corporation, collectively the ""Parties."" NOW THEREFORE, in consideration of the mutual promises and other good and valuable consideration, the Parties hereby agree as follows: 1. Consulting Services. "
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement.txt","Exhibit 10.2

EXECUTION COPY

***Text Omitted and Filed Separately with the Securities and Exchange Commission Confidential Treatment Requested Under 17 C.F.R. Sections 200.80(b)(4) and 240.24b-2

Collaboration Agreement

This Agreement is entered into with effect as of the Effective Date (as defined below)

by and between

F. Hoffmann-La Roche Ltd

with an office and place of business at Grenzacherstrasse 124, 4070 Basel, Switzerland (""Roche Basel"")

and

Hoffmann-La Roche Inc.

with an office "
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.txt,"Exhibit 10.1

[***] Certain information in this document has been excluded pursuant to Regulation S-K, Item 601(b)(10). Such excluded information is not material and would likely cause competitive harm to the registrant if publicly disclosed.

Execution Copy

COLLABORATIVE RESEARCH, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT

This COLLABORATIVE RESEARCH, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT (this ""Agreement"") is entered into as of June 8, 2018 (the ""Execution Date""), by and between Revol"
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.txt,"Exhibit 1.1

                                1,265,000 Shares                    (subject to increase up to 1,454,750 shares                       in the event of an oversubscription)

                              AFSALA BANCORP, INC.                             (a Delaware corporation)

                                  COMMON STOCK                            ($0.10 Par Value Per Share)

                      Subscription Price: $10.00 Per Share

                                AGENCY AGREEMEN"
"ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT.txt","EXHIBIT 10.8

DISTRIBUTOR AGREEMENT         Tripath Technology, Inc. 3900 Freedom Circle Suite # 200 Santa Clara, CA 95054 Tel: (408) 567-3000 Fax: (408) 567-3003

This Agreement is effective 7/1/98 (""Effective Date"") between Tripath Technology, Inc. (""Tripath""), and

Uniquest Corporation 780 Montague Expressway Suite 406 Santa Jose, CA 95131

Tripath and Distributor intend to establish Distributor as a non-exclusive Distributor for Tripath products in the following designated Territory, subject"
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement.txt,"EXHIBIT 10.24 ENDORSEMENT AGREEMENT

This Endorsement Agreement (""Agreement"") is made this 14th day of March, 2016 (""Effective Date""), by and between Lifeway Foods, Inc. (""Lifeway"") with a principal business address of 6431 West Oakton Street, Morton Grove, IL 60053 and Ludmila Smolyansky(""Individual"") on her own behalf with an address of 182 N. Harbor Drive, Chicago, IL 60602. Lifeway and Individual are collectively referred to as the ""parties,"" or individually as a ""party."" The terms of the Ag"
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT.txt","EXHIBIT 10.2

                             DISTRIBUTOR AGREEMENT

EXHIBIT 10.2

                         EXCLUSIVE DISTRIBUTOR AGREEMENT

         THIS  EXCLUSIVE   DISTRIBUTOR  AGREEMENT  (the  ""Agreement"")  shall  be effective as of _Dec. 8, 2005  (hereinafter  ""Effective  Date""),  by and between LifeUSA/  Envision  Health,  Inc.,  a  corporation   (hereinafter   collectively ""ENVISION""), and Sierra Mountain Minerals, Inc., a Canadian company (hereinafter ""SIERRA""), is made with reference to t"
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.txt,"Execution Copy

                       CO-BRANDING AND SERVICES AGREEMENT

         Co-Branding and Services Agreement, effective as of October 1, 1999 (this ""Agreement""), between RSL COM PrimeCall, Inc., a Delaware corporation (""PrimeCall""), and deltathree.com, Inc. (formerly known as Delta Three, Inc.), a Delaware corporation (""DeltaThree"").

                              W I T N E S S E T H :

         WHEREAS, PrimeCall is a leading provider and distributor of prepaid calling cards;

       "
"SPRINGBANKPHARMACEUTICALS,INC_04_08_2020-EX-99.A-JOINT FILING AGREEMENT.txt","EXHIBIT A JOINT FILING AGREEMENT In accordance with Rule 13d-1(k) under the Securities Exchange Act of 1934, as amended, the undersigned agree to the joint filing on behalf of each of them of a statement on Schedule 13G (including amendments thereto) with respect to the Common Stock of Spring Bank Pharmaceuticals, Inc. and further agree that this agreement be included as an exhibit to such filing. Each party to the agreement expressly authorizes each other party to file on its behalf any and all"
ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.txt,"EXHIBIT 10.5 NON-EXCLUSIVE DISTRIBUTOR AGREEMENT This Non-Exclusive Distributor Agreement (the ""Agreement"") is made and entered into as of this 19th day of July 2018, by and between iMine Corporation, (hereinafter referred to as ""JRVS"") and SUNWAI Technology, a Taiwanese company, with its principal office at 6th Floor, No. 258, Section 3, Nanjing East Road, Songshan District, Taipei 10051 (hereinafter referred to as the ""Distributor""). RECITAL WHEREAS, Distributor desires to be, a nonexclusive d"
CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT.txt,"Exhibit 10.1

CERTAIN CONFIDENTIAL INFORMATION CONTAINED IN THIS EXHIBIT, MARKED BY BRACKETS, HAS BEEN OMITTED AND FILED SEPARATELY WITH THE SECURITIES AND EXCHANGE COMMISSION PURSUANT TO RULE 24B-2 OF THE SECURITIES EXCHANGE ACT OF 1934, AS AMENDED.

SERVICES OUTSOURCING AGREEMENT

Between

CCA INDUSTRIES, INC. (""Company"")

And

EMERSON HEALTHCARE, LLC (""Contractor"")

DATED AS OF January 20, 2014





CONFIDENTIAL TREATMENT REQUESTED

This Services Outsourcing Agreement (this ""Agreement"") is ma"
Microgenics Corporation - Collaborative Development and Commercialization Agreement.txt,"Exhibit 10.5 Confidential Treatment Requested by Achaogen, Inc.   COLLABORATIVE DEVELOPMENT AND COMMERCIALIZATION AGREEMENT

  This Collaborative Development and Commercialization Agreement (""Agreement"") is entered into as of April 26, 2016 (""Effective Date"") by and between Microgenics Corporation (hereinafter ""Microgenics""), having its principal place of business at 46500 Kato Road, Fremont, California 94538, and Achaogen Inc. (hereinafter ""Achaogen""), having a place of business at 7000 Shoreli"
SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement.txt,"Exhibit 10.1 Certain portions of this exhibit have been omitted pursuant to Rule 601(b)(10) of Regulation S-K. The omitted information is (i) not material and (ii) would likely cause competitive harm to the Company if publicly disclosed. Information that has been omitted has been noted in this document with a placeholder identified by the mark ""[***]"". EXECUTION COPY PROMOTION AGREEMENT

by and between

SIGA TECHNOLOGIES, INC.

and

MERIDIAN MEDICAL TECHNOLOGIES, INC., a Pfizer company

Source: "
VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement.txt,"MOBILE APPLICATION DEVELOPMENT AGREEMENT (Agreement No: VAL/MAD/PVTINV/DC/190305/1) EDT (Electronic document transmissions)

EDT (Electronic document transmissions) shall be deemed valid and enforceable in respect of any provisions of this Contract. As applicable, this agreement shall be:- Incorporate U.S. Public Law 106-229, ''Electronic Signatures in Global and National Commerce Act'' or such other applicable law conforming to the UNCITRAL Model Law on Electronic Signatures (2001) and ELECTRON"
AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT.txt,"[LOGO]

                                    EXHIBIT C

                                    AIRSOPURE                                FRANCHISE AGREEMENT

THIS AGREEMENT is entered into on this ____ day of ___________, 2000, by and between Airsopure International Group, Inc., a Nevada corporation whose principal place of business is located at 15400 Knoll Trail, Suite 200, Dallas, Texas 75248 (hereinafter ""AIRSOPURE"" or by reference ""we"", ""us"", ""our""), and You:                                    ,"
IMMUNOMEDICSINC_08_07_2019-EX-10.1-PROMOTION AGREEMENT.txt,"CERTAIN IDENTIFIED INFORMATION HAS BEEN EXCLUDED FROM THIS EXHIBIT BECAUSE IT IS NOT MATERIAL AND WOULD LIKELY CAUSE COMPETITIVE HARM TO THE REGISTRANT IF PUBLICLY DISCLOSED. [***] INDICATES THAT INFORMATION HAS BEEN REDACTED.

PROMOTION AGREEMENT

by and between

JANSSEN BIOTECH, INC.

and

IMMUNOMEDICS, INC.

Dated as of: April 5, 2019





TABLE OF CONTENTS

ARTICLE 1 DEFINITIONS 1

ARTICLE II BRAND PLAN 10 2.1 Brand Plan Generally 10 2.2 Contents of Brand Plan 10

ARTICLE III PROMOTION 12 3."
HPILHOLDING_01_07_2015-EX-99.1-COOPERATION AGREEMENT.txt,"COOPERATION AGREEMENT     made by and between     HPIL ENERGYTECH Inc.   and   GINARES GROUP AG     January 5, 2015







    Table of Contents       1. Term........................................................................................................................................... 2 2. Goals And Objectives................................................................................................................ 2 3. Obligations Of The Parties................................."
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement.txt,"EXHIBIT 10.1   RESELLER AGREEMENT   THIS RESELLER AGREEMENT (this ""Agreement"") is made and entered into effect the 7th day of April, 2017 (""Effective Date""), by and between i3 Integrative Creative Solutions, LLC (""i3 ICS""), a Virginia limited liability company, having its offices at 6564 Loisdale Court Suite 1010B, Springfield, VA 22150 (""Reseller"") and the company set forth below (""Company"") (each, individually, a ""party"" and collectively, ""parties""):   Company: Bravatek Solutions, Inc. (BVTK) "
SPORTHALEYINC_09_29_1997-EX-10.2-10-ENDORSEMENT AGREEMENT.txt,"ENDORSEMENT AGREEMENT

    THIS ENDORSEMENT AGREEMENT is made and entered into effective this day of ___________________, 19__,  by and between SPORT-HALEY, INC.,  a Colorado corporation (the ""Company""), and _________________ (hereinafter referred to as the ""Professional"").

    WHEREAS, the Professional is an active, exempt and full-time touring professional on the Professional Golfer's Association Tour (the ""PGA Tour""); and/or (the ""Senior PGA Tour"") and

    WHEREAS, the company is in the bus"
XENCORINC_10_25_2013-EX-10.24-COLLABORATION AGREEMENT (3).txt,"Exhibit 10.24   ***Text Omitted and Filed Separately with the Securities and Exchange Commission. Confidential Treatment Requested Under 17 C.F.R. Sections 200.80(b)(4) and Rule 406 of the Securities Act of 1933, as amended.

   Collaboration Agreement, BII/ XENCOR



  Confidential

    COLLABORATION AGREEMENT   This Collaboration Agreement (""Agreement"") is made by and among     Xencor, Inc.  111 W. Lemon Ave. Monrovia, CA 91016 USA

(hereinafter called ""XENCOR""),   and   Boehringer Ingelheim I"
NETGROCERINC_07_31_1998-EX-10.15-SPONSORSHIP AGREEMENT.txt,"CONFIDENTIAL TREATMENT HAS BEEN REQUESTED FOR PORTIONS OF THIS EXHIBIT. THE CONFIDENTIAL PORTIONS HAVE BEEN REDACTED AND ARE DENOTED BY [*]. THE  CONFIDENTIAL PORTIONS HAVE BEEN SEPARATELY FILED WITH THE SECURITIES AND EXCHANGE COMMISSION.

                             SPONSORSHIP AGREEMENT

This agreement (""Agreement"") is entered into as of the 15th day of December, 1997 (""Effective Date""), by and between Excite, Inc., a California corporation, located at 555 Broadway, Redwood City, California "
CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement.txt,"Exhibit 10.29 Confidential Execution Version [***] Certain information in this document has been excluded pursuant to Regulation S-K, Item 601(b)(10). Such excluded information is not material and would likely cause competitive harm to the registrant if publicly disclosed.

NOV 02, 2019

BIOEQ IP AG

AND

COHERUS BIOSCIENCES, INC.

LICENSE AND DEVELOPMENT AGREEMENT

Source: COHERUS BIOSCIENCES, INC., 10-K, 2/27/2020





Confidential Execution Version CONTENTS

Clause Page

1. DEFINITIONS AND IN"
